id_PEP,kids_actual,kids_expected,wife_actual,wife_expected,total_property_assets,total_property_assets_divide_income,sum_income,am_avto,am_avto_without_price,am_real_estate,am_real_estate_without_price,am_land,am_land_without_price,no_real_estate_adress,no_real_estate_region,sum_act_property_cash,sum_act_property_cash_divide_sum_prev_property_cash,sum_prev_property_cash,sum_act_sale_property,sum_prev_sale_property,sum_income_divide_sum_act_property_minus_sum_prev_property,sum_taken_teaching_dopwork,sum_taken_teaching_dopwork_divide_sum_income,sum_royalty,sum_royalty_divide_sum_income,sum_income_assets,sum_spending,sum_present,sum_prize,am_car2013_less150,am_lux_car,sum_cash,sum_cash_assets,sum_prev_cash_assets,sum_cash_min_year,sum_cash_min_year_divide_sum_income_min_year,sum_income_min_year,sum_spending_divide_sum_income,am_company_noBeneficInform,am_company,sum_money_spending,sum_crypto,am_live_property_rent_300more
1,,,,,54703056.3728,10.286200000000001,5318115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14171514.4,26.7159,530453.0,,1.0,,,,
2,0.0,4.0,1.0,1.0,,,772961396.0,,,,,,,,,1785511685.0,37.3392,47818727.8,,,,,,,,,838480398.0,,,,2.0,1733752316.0,,,,,,108.4764,91.0,,,,
34,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,2548461.5476,12.7462,199939.0,,,,,,,,,,,,,,,,,,,,,,,,,,846839.5476,779336.3476,682586.0,12.6839,53815.0,,,,,,
139,,,,,,,15084440.0,,,,,,,,,,,,,,,,,,,,15064653.0,,,,1.0,,,,,,,99.8688,,,,,
257,,,,,60370910.4976,16.6741,3620640.0,,,,,,,,,,,,,,,,,,,,13595429.0,,,,1.0,,,,19737054.0,5.4513,3620640.0,375.498,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10213849.04,,,,,,,,,,,
276,,,,,40628924.3408,37.1257,1094361.0,,,,,,,,,,,,,,,,,,,,,,,,,31943597.42,,,,,,,,,,,
279,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17297526.72,155377568.7316,19792448.9872,17595320.0,9.5042,1851318.0,,,,,,
